
DATE,TRANSFER_ID,USER_TYPE,ENTRY_TYPE,ACCOUNT_ID,TRANSFER_STATUS,SERVICE_NAME,REQUESTED_VALUE,APPROVED_VALUE,PREVIOUS_BALANCE,POST_BALANCE,TRANSFER_DATE,TRANSACTION_TYPE,SECOND_PARTY_ACCOUNT_ID,TRANSFER_ON,SERVICE_TYPE,REFERENCE_NUMBER,EXT_TXN_NUMBER
19/07/2019,MP190719.2042.C04771,PAYEE,Credit,261061702,TF,Merchant Payment,5,0,5,5,19-JUL-19,MR,269591784,19-JUL-19 08.42.37.882000 PM,MERCHPAY,450216,450216
19/07/2019,MP190719.0946.D01729,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,90,95,19-JUL-19,MR,278765973,19-JUL-19 09.46.56.715000 AM,MERCHPAY,449978,449978
19/07/2019,MP190719.1103.C01409,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,95,100,19-JUL-19,MR,265838062,19-JUL-19 11.03.49.648000 AM,MERCHPAY,450006,450006
19/07/2019,MP190719.0842.C00567,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,85,90,19-JUL-19,MR,262123046,19-JUL-19 08.42.29.825000 AM,MERCHPAY,449954,449954
19/07/2019,MP190719.1637.D04046,PAYEE,Credit,261061702,TS,Merchant Payment,15,15,110,125,19-JUL-19,MR,266842239,19-JUL-19 04.37.19.228000 PM,MERCHPAY,450132,450132
20/07/2019,MP190720.1718.D00801,PAYEE,Credit,261061702,TS,Merchant Payment,15,15,270,285,20-JUL-19,MR,277420873,20-JUL-19 05.18.59.859000 PM,MERCHPAY,450507,450507
19/07/2019,MP190719.2351.C05439,PAYEE,Credit,261061702,TS,Merchant Payment,15,15,110,125,19-JUL-19,MR,577432196,19-JUL-19 11.51.45.634000 PM,MERCHPAY,450280,450280
20/07/2019,MP190720.1954.D01648,PAYEE,Credit,261061702,TS,Merchant Payment,25,25,5,30,20-JUL-19,MR,262123046,20-JUL-19 07.54.58.814000 PM,MERCHPAY,450559,450559
21/07/2019,MP190721.1513.D02905,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,365,370,21-JUL-19,MR,279152187,21-JUL-19 03.13.58.215000 PM,MERCHPAY,450816,450816
19/07/2019,RW190719.1801.C00093,PAYER,Debit,261061702,TS,Auto Sweep Money Transfer,125,125,125,0,19-JUL-19,MP,624613d05cd58f22261e5fdaaacdd108,19-JUL-19 06.01.09.383000 PM,AUTOSWP,,
19/07/2019,MP190719.0456.C09933,PAYEE,Credit,261061702,TS,Merchant Payment,25,25,55,80,19-JUL-19,MR,272631054,19-JUL-19 04.56.35.218000 AM,MERCHPAY,449912,449912
21/07/2019,MP190721.0426.D00247,PAYEE,Credit,261061702,TS,Merchant Payment,160,160,35,195,21-JUL-19,MR,272872918,21-JUL-19 04.26.30.244000 AM,MERCHPAY,450646,450646
21/07/2019,MP190721.1048.C01566,PAYEE,Credit,261061702,TS,Merchant Payment,10,10,270,280,21-JUL-19,MR,277827070,21-JUL-19 10.48.07.882000 AM,MERCHPAY,450713,450713
19/07/2019,MP190719.0710.C00143,PAYEE,Credit,261061702,TF,Merchant Payment,60,0,80,80,19-JUL-19,MR,273152983,19-JUL-19 07.10.55.825000 AM,MERCHPAY,449925,449925
19/07/2019,MP190719.1523.D03605,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,105,110,19-JUL-19,MR,575570487,19-JUL-19 03.23.27.348000 PM,MERCHPAY,450107,450107
21/07/2019,MP190721.1228.D02075,PAYEE,Credit,261061702,TS,Merchant Payment,10,10,280,290,21-JUL-19,MR,277827070,21-JUL-19 12.28.35.281000 PM,MERCHPAY,450744,450744
19/07/2019,MP190719.2242.C05250,PAYEE,Credit,261061702,TS,Merchant Payment,40,40,10,50,19-JUL-19,MR,570115856,19-JUL-19 10.42.22.355000 PM,MERCHPAY,450262,450262
21/07/2019,MP190721.1338.D02418,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,360,365,21-JUL-19,MR,572475258,21-JUL-19 01.38.49.474000 PM,MERCHPAY,450785,450785
21/07/2019,MP190721.2008.D04074,PAYEE,Credit,261061702,TS,Merchant Payment,1,1,5,6,21-JUL-19,MR,575366326,21-JUL-19 08.08.25.959000 PM,MERCHPAY,450896,450896
21/07/2019,MP190721.2111.C04411,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,151,156,21-JUL-19,MR,575570487,21-JUL-19 09.11.58.161000 PM,MERCHPAY,450922,450922
21/07/2019,MP190721.1959.D04051,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,0,5,21-JUL-19,MR,265838062,21-JUL-19 07.59.43.933000 PM,MERCHPAY,450893,450893
19/07/2019,MP190719.0733.D00966,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,80,85,19-JUL-19,MR,272627622,19-JUL-19 07.33.11.366000 AM,MERCHPAY,449931,449931
20/07/2019,MP190720.1944.C00326,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,0,5,20-JUL-19,MR,265838062,20-JUL-19 07.44.58.553000 PM,MERCHPAY,450556,450556
20/07/2019,RW190720.1801.C00109,PAYER,Debit,261061702,TS,Auto Sweep Money Transfer,325,325,325,0,20-JUL-19,MP,624613d05cd58f22261e5fdaaacdd108,20-JUL-19 06.01.09.127000 PM,AUTOSWP,,
20/07/2019,MP190720.2000.C00388,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,30,35,20-JUL-19,MR,578044517,20-JUL-19 08.00.11.853000 PM,MERCHPAY,450562,450562
20/07/2019,MP190720.1359.C08486,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,185,190,20-JUL-19,MR,571002417,20-JUL-19 01.59.32.749000 PM,MERCHPAY,450442,450442
20/07/2019,MP190720.1329.C08244,PAYEE,Credit,261061702,TS,Merchant Payment,25,25,160,185,20-JUL-19,MR,573165498,20-JUL-19 01.29.09.367000 PM,MERCHPAY,450432,450432
20/07/2019,MP190720.1633.D00550,PAYEE,Credit,261061702,TS,Merchant Payment,15,15,195,210,20-JUL-19,MR,269546336,20-JUL-19 04.33.50.990000 PM,MERCHPAY,450484,450484
20/07/2019,MP190720.1705.D00736,PAYEE,Credit,261061702,TS,Merchant Payment,60,60,210,270,20-JUL-19,MR,273052640,20-JUL-19 05.05.59.465000 PM,MERCHPAY,450503,450503
20/07/2019,MP190720.1520.D00174,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,190,195,20-JUL-19,MR,574947383,20-JUL-19 03.20.13.051000 PM,MERCHPAY,450466,450466
20/07/2019,MP190720.1735.C09635,PAYEE,Credit,261061702,TS,Merchant Payment,35,35,290,325,20-JUL-19,MR,577781665,20-JUL-19 05.35.11.838000 PM,MERCHPAY,450515,450515
20/07/2019,MP190720.1724.D00822,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,285,290,20-JUL-19,MR,571894808,20-JUL-19 05.24.17.336000 PM,MERCHPAY,450510,450510
19/07/2019,MP190719.2015.C04670,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,0,5,19-JUL-19,MR,263724042,19-JUL-19 08.15.51.892000 PM,MERCHPAY,450207,450207
19/07/2019,MP190719.1227.D02612,PAYEE,Credit,261061702,TS,Merchant Payment,5,5,100,105,19-JUL-19,MR,576503915,19-JUL-19 12.27.26.984000 PM,MERCHPAY,450043,450043
